sn,symbol,ltp,point change,open,high,low,volume,close

1,ACLBSL,598.00,-19.00,-3.08,615.00,615.00,582.00,"3,257.00",617.00
2,ADBL,256.00,-5.30,-2.03,261.00,264.00,255.30,"39,429.00",261.30
3,ADBLD83,"1,010.00",-14.10,-1.38,"1,005.00","1,010.00","1,005.00",335.00,"1,024.10"
4,AHL,380.00,4.00,1.06,380.00,387.60,370.20,"16,546.00",376.00
5,AHPC,242.10,-6.90,-2.77,253.00,258.80,240.10,"97,327.00",249.00
6,AKJCL,229.00,4.00,1.78,220.50,240.00,213.10,"69,095.00",225.00
7,AKPL,188.20,-8.70,-4.42,197.00,197.00,188.20,"341,383.00",196.90
8,ALBSL,748.00,68.00,10.00,666.40,748.00,666.00,"9,374.00",680.00
9,ALICL,671.00,-21.00,-3.03,682.00,690.00,668.40,"46,502.00",692.00
10,ANLB,"1,815.00",-21.00,-1.14,"1,872.70","1,975.00","1,805.00","1,394.00","1,836.00"
11,API,187.50,-4.80,-2.50,195.00,195.50,187.50,"292,204.00",192.30
12,AVYAN,619.00,-12.00,-1.90,621.00,643.60,616.00,"8,454.00",631.00
13,BARUN,244.70,-4.30,-1.73,252.00,252.00,240.00,"49,404.00",249.00
14,BBC,"4,156.10",86.10,2.12,"4,125.00","4,275.00","4,125.00","1,359.00","4,070.00"
15,BEDC,282.00,-10.00,-3.42,292.00,297.80,280.40,"20,811.00",292.00
16,BFC,328.00,-13.00,-3.81,344.00,344.00,328.00,"17,351.00",341.00
17,BGWT,558.00,43.00,8.35,504.70,558.00,490.50,"33,285.00",515.00
18,BHDC,399.00,-9.00,-2.21,399.90,416.00,392.10,"5,596.00",408.00
19,BHL,305.00,17.90,6.23,292.80,315.00,292.80,"43,145.00",287.10
20,BHPL,429.00,-16.10,-3.62,445.00,445.00,424.00,"9,723.00",445.10
21,BNHC,384.90,-3.10,-0.80,388.00,399.00,376.00,"15,523.00",388.00
22,BNL,"5,784.10",525.80,10.00,"5,363.40","5,784.10","5,363.40",50.00,"5,258.30"
23,BNT,"13,100.00",-245.00,-1.84,"13,340.00","13,606.80","13,073.20",694.00,"13,345.00"
24,BOKD86,860.00,0.00,0.00,874.00,877.00,860.00,100.00,860.00
25,BPCL,311.00,-5.00,-1.58,318.00,318.00,310.00,"25,808.00",316.00
26,BPW,"1,531.30",139.20,10.00,"1,419.90","1,531.30","1,419.90","6,953.00","1,392.10"
27,C30MF,8.87,0.07,0.80,8.63,8.87,8.63,"1,000.00",8.80
28,CBBL,923.00,-27.00,-2.84,952.00,953.00,922.00,"24,051.00",950.00
29,CBLD88,971.00,1.00,0.10,971.00,971.00,971.00,25.00,970.00
30,CCBD88,991.00,0.00,0.00,991.00,991.00,991.00,476.00,991.00
31,CFCL,356.00,-11.00,-3.00,374.30,374.30,347.00,"17,751.00",367.00
32,CGH,"1,096.00",-24.00,-2.14,"1,120.00","1,135.00","1,095.00","11,364.00","1,120.00"
33,CHCL,571.80,4.80,0.85,568.00,577.00,562.00,"199,493.00",567.00
34,CHDC,970.00,-28.00,-2.81,980.10,"1,010.00",951.10,"16,851.00",998.00
35,CHL,252.00,-10.00,-3.82,260.00,265.00,252.00,"26,424.00",262.00
36,CIT,"2,268.00",-32.00,-1.39,"2,335.80","2,346.00","2,240.00","45,507.00","2,300.00"
37,CITY,687.00,-33.00,-4.58,729.00,729.00,687.00,"38,534.00",720.00
38,CKHL,330.00,30.00,10.00,300.00,330.00,300.00,"2,080.00",300.00
39,CLI,531.00,-16.50,-3.01,550.00,550.00,531.00,"138,296.00",547.50
40,CMF1,8.62,-0.10,-1.15,8.56,8.65,8.55,"16,100.00",8.72
41,CMF2,8.08,-0.17,-2.06,8.09,8.09,7.93,"5,200.00",8.25
42,CORBL,355.00,-8.00,-2.20,355.80,369.00,351.00,"5,834.00",363.00
43,CYCL,"1,086.00",13.00,1.21,"1,051.60","1,094.00","1,050.00","6,686.00","1,073.00"
44,CZBIL,184.00,-4.00,-2.13,187.00,190.00,183.00,"57,341.00",188.00
45,DDBL,785.40,-30.40,-3.73,814.00,815.80,785.00,"9,831.00",815.80
46,DHPL,181.30,-6.70,-3.56,191.60,193.00,181.10,"32,991.00",188.00
47,DLBS,"1,009.80",91.80,10.00,899.70,"1,009.80",868.00,"3,886.00",918.00
48,DOLTI,284.90,-11.60,-3.91,296.00,306.00,282.00,"40,977.00",296.50
49,DORDI,279.00,5.00,1.82,274.00,284.50,261.10,"32,383.00",274.00
50,EBL,530.10,-14.90,-2.73,545.00,550.00,525.30,"50,049.00",545.00
51,EBLD85,"1,023.00",23.00,2.30,990.10,"1,023.00",990.00,170.00,"1,000.00"
52,EBLD86,825.10,-48.90,-5.59,857.00,857.00,825.10,75.00,874.00
53,EDBL,339.00,-11.00,-3.14,350.00,354.00,336.00,"39,920.00",350.00
54,EHPL,367.90,-6.90,-1.84,375.00,381.00,358.00,"14,228.00",374.80
55,ENL,890.00,-40.00,-4.30,911.40,930.00,858.70,"22,380.00",930.00
56,FMDBL,666.00,-22.00,-3.20,675.00,694.00,664.00,"24,831.00",688.00
57,FOWAD,"1,225.00",15.00,1.24,"1,233.00","1,257.60","1,201.00","15,399.00","1,210.00"
58,GBBD85,928.20,18.20,2.00,910.00,928.20,910.00,305.00,910.00
59,GBBL,411.00,-13.00,-3.07,432.40,432.40,411.00,"183,208.00",424.00
60,GBD80/81,"1,040.50",10.50,1.02,"1,025.00","1,040.50","1,020.10",500.00,"1,030.00"
61,GBILD86/87,858.00,-17.00,-1.94,858.00,858.00,858.00,25.00,875.00
62,GBIME,207.00,-4.00,-1.90,213.00,213.00,206.00,"180,068.00",211.00
63,GBLBS,557.00,-40.70,-6.81,598.00,599.00,557.00,"12,456.00",597.70
64,GCIL,575.00,1.10,0.19,573.90,580.00,555.00,"268,407.00",573.90
65,GFCL,453.20,-16.80,-3.57,461.00,469.00,453.20,"14,946.00",470.00
66,GHL,167.10,-10.90,-6.12,181.00,181.00,167.10,"122,846.00",178.00
67,GIBF1,8.35,-0.05,-0.60,8.24,8.35,8.00,"17,600.00",8.40
68,GILB,858.00,-27.00,-3.05,869.10,876.00,845.00,"8,885.00",885.00
69,GLBSL,720.10,-20.90,-2.82,726.20,740.00,720.10,"1,039.00",741.00
70,GLH,250.00,-9.90,-3.81,260.00,267.50,248.00,"48,042.00",259.90
71,GMFBS,755.80,0.00,0.00,741.00,755.80,741.00,484.00,755.80
72,GMFIL,372.10,-15.90,-4.10,395.00,395.00,372.10,"23,082.00",388.00
73,GRDBL,334.00,-5.90,-1.74,340.00,342.80,330.10,"10,061.00",339.90
74,GUFL,555.00,-18.80,-3.28,585.00,585.00,551.20,"28,241.00",573.80
75,GVL,419.00,-16.00,-3.68,427.00,438.00,416.60,"43,748.00",435.00
76,GWFD83,"1,100.00",20.00,1.85,"1,089.80","1,100.00","1,089.80",175.00,"1,080.00"
77,HATHY,923.00,15.20,1.67,925.90,980.00,880.00,"162,920.00",907.80
78,HBL,212.00,-4.40,-2.03,215.20,217.00,210.80,"83,847.00",216.40
79,HBLD83,999.70,-2.30,-0.23,999.60,999.70,999.60,50.00,"1,002.00"
80,HBLD86,975.50,-1.50,-0.15,972.00,975.50,972.00,81.00,977.00
81,HDHPC,153.80,-2.20,-1.41,156.00,159.10,151.00,"696,629.00",156.00
82,HDL,"2,067.00",107.90,5.51,"1,998.20","2,155.00","1,978.00","96,721.00","1,959.10"
83,HEI,609.00,-15.00,-2.40,618.00,627.00,603.10,"35,551.00",624.00
84,HHL,353.00,30.00,9.29,316.60,354.00,307.80,"50,740.00",323.00
